Reviewed for links,Date Reviewed,Partner Name,Partner Disount,Rate Type,Website,SLR URL,SLO URL,PL URL,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Yes,10/15/2025,Credible,,Non-HBG,https://www.credible.com/,https://www.credible.com/refinance-student-loans,,https://www.credible.com/personal-loan/earnest-personal-loans-review,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Credible,,Non-HBG,https://www.credible.com/,https://www.credible.com/refinance-student-loans/earnest-review,,https://www.credible.com/personal-loan,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Credible,,Non-HBG,https://www.credible.com/,https://www.credible.com/refinance-student-loans/earnest-vs-sofi,,,,,,,,,,,,,,,,,,,,,,,,
Yes,3/23/2026,CalBar Connect,,Non-HBG,https://www.calbarconnect.com/,https://www.calbarconnect.com/offers/earnest/,,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,White Coat Investor,-0.25%,Discount HBG,https://www.whitecoatinvestor.com/student-loan-refinancing/,https://www.whitecoatinvestor.com/student-loan-refinancing/,https://www.whitecoatinvestor.com/medical-school-student-loans/,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,White Coat Investor,-0.25%,Discount HBG,https://www.whitecoatinvestor.com/student-loan-refinancing/,https://www.whitecoatinvestor.com/earnest-student-loan-refinancing/,,,,,,,,,,,,,,,,,,,,,,,,
Yes,12/3/2025,White Coat Investor,-0.25%,Discount HBG,https://www.whitecoatinvestor.com/student-loan-refinancing/,https://studentloanadvice.com/refinancing/,,,StudentLoanAdvice.com Owned by White Coat Investor,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Juno,-0.25%,Discount HBG,https://joinjuno.com/,https://joinjuno.com/financial-literacy/student-loans/earnest-vs-sofi-best-student-loan-refinancing-comparison,https://joinjuno.com/rate-match-guarantee,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Juno,-0.25%,Discount HBG,https://joinjuno.com/,https://joinjuno.com/loans/refinance,,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Student Loan Planner,,HBG,https://www.studentloanplanner.com/,https://www.studentloanplanner.com/refinance-student-loans/,https://www.studentloanplanner.com/private-student-loans-without-cosigner/,,Has citizens but goes to Credible,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Student Loan Planner,,HBG,https://www.studentloanplanner.com/,https://www.studentloanplanner.com/earnest-student-loan-refinance-review/,https://www.studentloanplanner.com/earnest-private-student-loans-review/,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,U.S. News,,Non-HBG,https://money.usnews.com/loans,https://money.usnews.com/loans/student-loans/student-loans-consolidation-refinancing,https://money.usnews.com/loans/student-loans/best-private-student-loans,,has citizens,,,,,,,,,,,,,,,,,,,,,
Yes,2/11/2026,U.S. News,,Non-HBG,https://money.usnews.com/loans,https://money.usnews.com/loans/student-loans/reviews/earnest-student,,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Natural Intelligence,,Non-HBG,https://www.bestmoney.com/,https://www.bestmoney.com/student-loans/compare-student-loans-refinance,https://www.bestmoney.com/private-student-loans/compare-private-student-loans?utm_source=bm&bmuid=oRNhgWzLyHCsyd9719fb,,SLR is direct; SLO is managed by College Finance,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Big Law Investor [Four Minute Warning],,HBG,https://www.biglawinvestor.com/,https://www.biglawinvestor.com/marketplace/refinance-student-loans/,,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Big Law Investor [Four Minute Warning],,HBG,https://www.biglawinvestor.com/,https://www.biglawinvestor.com/resources/lender/earnest/,,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Splash Financial,,Non-HBG,https://www.splashfinancial.com/student-loan-refinancing?utm_source=google&utm_medium=sem_brand&utm_campaign=search_splash&gad_source=1&gad_campaignid=22639895480&gbraid=0AAAAADKUv5Ufua4ngcsPyXgBTNuEeERt7&gclid=Cj0KCQjwnovFBhDnARIsAO4V7mBAU4_-Q41DfJd_eJVb320ViEIhpiYpHUCEulB22Nz5D4XJvnOjvXkaAl3gEALw_wcB,https://www.splashfinancial.com/student-loan-refinancing,https://www.splashfinancial.com/private-student-loans,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Engine by MoneyLion [Even Financial],,Non-HBG,https://engine.tech/,https://www.moneylion.com/refinance-student-loans,,https://www.moneylion.com/personal-loans,"Preferred name ""Engine by Money Lion"" (according to Patrick Sinclair 10/3/25)",,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Engine by MoneyLion [Even Financial],,Non-HBG,https://engine.tech/,https://www.moneylion.com/learn/earnest-student-loan-refinancing/,,,"Preferred name ""Engine by Money Lion"" (according to Patrick Sinclair 10/3/25)",,,,,,,,,,,,,,,,,,,,,
